year,mouth,day,heat_number,compound_layer,diffusion_depth,preid,identification
2024,10,10,296,0.015,0.13,24,7149
2024,10,10,296,0.015,0.13,24,7097
2024,10,10,296,0.015,0.13,24,7203
2024,10,10,296,0.015,0.13,24,7238
2024,10,10,296,0.015,0.13,24,7222
2024,10,10,296,0.015,0.13,24,7095
2024,10,10,296,0.015,0.13,24,7119
2024,10,10,296,0.015,0.13,24,7223
2024,10,10,297,0.018,0.13,24,7096
2024,10,10,297,0.018,0.13,24,7236
2024,10,10,297,0.018,0.13,24,7051
2024,10,10,297,0.018,0.13,24,7058
2024,10,10,297,0.018,0.13,24,7257
2024,10,10,297,0.018,0.13,24,7108
2024,10,10,297,0.018,0.13,24,7072
2024,10,10,297,0.018,0.13,24,7128
2024,10,11,298,0.015,0.13,24,7099
2024,10,11,298,0.015,0.13,24,7124
2024,10,11,298,0.015,0.13,24,6128
2024,10,11,298,0.015,0.13,24,7042
2024,10,11,298,0.015,0.13,24,6114
2024,10,11,298,0.015,0.13,24,7041
2024,10,11,298,0.015,0.13,24,7202
2024,10,11,298,0.015,0.13,24,7093
2024,10,11,299,0.015,0.13,24,7079
2024,10,11,299,0.015,0.13,24,6065
2024,10,11,299,0.015,0.13,24,7107
2024,10,11,299,0.015,0.13,24,7028
2024,10,11,299,0.015,0.13,24,6075
2024,10,11,299,0.015,0.13,24,7043
2024,10,11,299,0.015,0.13,24,6167
2024,10,11,299,0.015,0.13,24,7117
2024,10,14,300,0.015,0.13,24,6103
2024,10,14,300,0.015,0.13,24,7192
2024,10,14,300,0.015,0.13,24,7208
2024,10,14,300,0.015,0.13,24,7092
2024,10,14,300,0.015,0.13,24,7112
2024,10,14,300,0.015,0.13,24,6077
2024,10,14,300,0.015,0.13,24,7101
2024,10,14,300,0.015,0.13,24,7060
2024,10,16,308,0.018,0.14,24,8122
2024,10,16,308,0.018,0.14,24,6052
2024,10,16,308,0.018,0.14,24,7193
2024,10,16,308,0.018,0.14,24,7109
2024,10,16,308,0.018,0.14,24,9009
2024,10,16,308,0.018,0.14,24,7218
2024,10,16,308,0.018,0.14,24,7215
2024,10,16,308,0.018,0.14,24,7046
2024,10,16,309,0.015,0.13,24,7186
2024,10,16,309,0.015,0.13,24,7221
2024,10,16,309,0.015,0.13,24,7194
2024,10,16,309,0.015,0.13,24,7231
2024,10,16,309,0.015,0.13,24,8126
2024,10,16,309,0.015,0.13,24,8103
2024,10,16,309,0.015,0.13,24,7224
2024,10,16,309,0.015,0.13,24,7157
2024,10,17,310,0.013,0.13,24,7105
2024,10,17,310,0.013,0.13,24,7188
2024,10,17,310,0.013,0.13,24,7106
2024,10,17,310,0.013,0.13,24,6091
2024,10,17,310,0.013,0.13,24,7199
2024,10,17,310,0.013,0.13,24,6155
2024,10,17,310,0.013,0.13,24,6093
2024,10,17,310,0.013,0.13,24,6176
2024,10,17,311,0.015,0.13,24,8128
2024,10,17,311,0.015,0.13,24,8033
2024,10,17,311,0.015,0.13,24,8132
2024,10,17,311,0.015,0.13,24,6194
2024,10,17,311,0.015,0.13,24,9006
2024,10,17,311,0.015,0.13,24,8127
2024,10,17,311,0.015,0.13,24,6069
2024,10,17,311,0.015,0.13,24,6163
2024,10,18,312,0.015,0.13,24,7025
2024,10,18,312,0.015,0.13,24,7220
2024,10,18,312,0.015,0.13,24,6037
2024,10,18,312,0.015,0.13,24,6248
2024,10,18,312,0.015,0.13,24,6043
2024,10,18,312,0.015,0.13,24,6165
2024,10,18,312,0.015,0.13,24,6032
2024,10,18,312,0.015,0.13,24,6197
2024,10,18,313,0.013,0.13,24,7184
2024,10,18,313,0.013,0.13,24,7090
2024,10,18,313,0.013,0.13,24,7094
2024,10,18,313,0.013,0.13,24,7229
2024,10,18,313,0.013,0.13,24,7013
2024,10,18,313,0.013,0.13,24,7088
2024,10,18,313,0.013,0.13,24,7213
2024,10,18,313,0.013,0.13,24,7100
2024,10,19,314,0.013,0.12,24,7020
2024,10,19,314,0.013,0.12,24,7111
2024,10,19,314,0.013,0.12,24,6086
2024,10,19,314,0.013,0.12,24,7233
2024,10,19,314,0.013,0.12,24,7191
2024,10,19,314,0.013,0.12,24,7239
2024,10,19,314,0.013,0.12,24,7200
2024,10,19,314,0.013,0.12,24,7087
2024,10,19,315,0.013,0.12,24,7232
2024,10,19,315,0.013,0.12,24,7148
2024,10,19,315,0.013,0.12,24,7235
2024,10,19,315,0.013,0.12,24,6184
2024,10,19,315,0.013,0.12,24,6223
2024,10,19,315,0.013,0.12,24,6238
2024,10,19,315,0.013,0.12,24,6222
2024,10,19,315,0.013,0.12,24,6235
2024,10,21,316,0.015,0.13,24,7001
2024,10,21,316,0.015,0.13,24,6030
2024,10,21,316,0.015,0.13,24,7075
2024,10,21,316,0.015,0.13,24,6227
2024,10,21,316,0.015,0.13,24,7015
2024,10,21,316,0.015,0.13,24,7195
2024,10,21,316,0.015,0.13,24,6105
2024,10,21,316,0.015,0.13,24,6237
2024,10,21,317,0.013,0.12,24,7114
2024,10,21,317,0.013,0.12,24,7016
2024,10,21,317,0.013,0.12,24,7183
2024,10,21,317,0.013,0.12,24,7069
2024,10,21,317,0.013,0.12,24,7142
2024,10,21,317,0.013,0.12,24,7243
2024,10,21,317,0.013,0.12,24,7227
2024,10,21,317,0.013,0.12,24,7242
2024,10,21,318,0.013,0.12,24,7053
2024,10,21,318,0.013,0.12,24,7055
2024,10,21,318,0.013,0.12,24,7056
2024,10,21,318,0.013,0.12,24,7054
2024,10,21,318,0.013,0.12,24,9001
2024,10,21,318,0.013,0.12,24,6226
2024,10,21,318,0.013,0.12,24,8048
2024,10,21,318,0.013,0.12,24,7120
2024,10,21,319,0.013,0.12,24,7068
2024,10,21,319,0.013,0.12,24,6192
2024,10,21,319,0.013,0.12,24,8082
2024,10,21,319,0.013,0.12,24,6225
2024,10,21,319,0.013,0.12,24,7201
2024,10,21,319,0.013,0.12,24,8055
2024,10,21,319,0.013,0.12,24,8066
2024,10,21,319,0.013,0.12,24,8079
2024,10,22,320,0.015,0.13,24,8025
2024,10,22,320,0.015,0.13,24,7210
2024,10,22,320,0.015,0.13,24,6188
2024,10,22,320,0.015,0.13,24,7136
2024,10,22,320,0.015,0.13,24,7209
2024,10,22,320,0.015,0.13,24,6231
2024,10,22,320,0.015,0.13,24,7044
2024,10,22,320,0.015,0.13,24,7150
2024,10,22,321,0.015,0.13,24,7085
2024,10,22,321,0.015,0.13,24,6082
2024,10,22,321,0.015,0.13,24,7004
2024,10,22,321,0.015,0.13,24,7007
2024,10,22,321,0.015,0.13,24,7147
2024,10,22,321,0.015,0.13,24,8100
2024,10,22,321,0.015,0.13,24,6240
2024,10,22,321,0.015,0.13,24,7040
2024,10,26,328,0.013,0.13,24,7116
2024,10,26,328,0.013,0.13,24,7122
2024,10,26,328,0.013,0.13,24,9007
2024,10,26,328,0.013,0.13,24,8116
2024,10,26,328,0.013,0.13,24,7125
2024,10,26,328,0.013,0.13,24,6242
2024,10,26,328,0.013,0.13,24,8124
2024,10,26,328,0.013,0.13,24,7091
2024,10,28,333,0.015,0.13,24,8121
2024,10,28,333,0.015,0.13,24,6097
2024,10,28,333,0.015,0.13,24,7011
2024,10,28,333,0.015,0.13,24,6156
2024,10,28,333,0.015,0.13,24,6160
2024,10,28,333,0.015,0.13,24,6246
2024,10,28,333,0.015,0.13,24,7198
2024,10,28,333,0.015,0.13,24,6164
2024,10,29,334,0.013,0.13,24,6244
2024,10,29,334,0.013,0.13,24,7078
2024,10,29,334,0.013,0.13,24,7153
2024,10,29,334,0.013,0.13,24,7059
